@relation mydata
@attribute ï..PR.BH {'Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLetourneau','Jaclyn Ronson','Madison Reid','Nicole Gilmore'}
@attribute PR.RM {' Sydney Fearon','Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLetourneau','Deanna Hinds','Emma Kiesekamp','Jaclyn Ronson','Karyn Jolicoeur','Nicole Gilmore','Sydney Fearon'}
@attribute Player {'Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLethourneau','Deanna Hinds','Emma Huff','Emma Kiesekamp','Jaclyn Ronson','Karyn Jolicoeur','Madison Reid','Nicole Gilmore','Sydney Fearon'}
@attribute Screen.Right.or.Left {'Off-Screen','Screen Left','Screen Right'}
@attribute Screen.Used {'No','Yes'}
@attribute Result {'2 FGM','2FGm','3 FGM','3FGm','Foul','Turnover'}
@data
'Alexandra Trivieri','Emma Kiesekamp','Alexandra Trivieri','Screen Left','Yes','2FGm'
'Nicole Gilmore','Emma Kiesekamp','Nicole Gilmore','Screen Right','Yes','2 FGM'
'Nicole Gilmore','Emma Kiesekamp','Nicole Gilmore','Screen Right','Yes','2FGm'
'Nicole Gilmore','Sydney Fearon','Alyssa Cerino','Screen Right','Yes','2FGm'
'Nicole Gilmore','Sydney Fearon','Nicole Gilmore','Screen Left','Yes','Turnover'
'Nicole Gilmore','Emma Kiesekamp','Nicole Gilmore','Screen Right','Yes','Turnover'
'Alexandra Trivieri','Alyssa Cerino','Alyssa Cerino','Screen Right','Yes','3FGm'
'Alyssa Cerino','Karyn Jolicoeur','Madison Reid','Screen Left','Yes','3FGm'
'Madison Reid','Emma Kiesekamp','Jaclyn Ronson','Screen Right','Yes','3FGm'
'Madison Reid','Emma Kiesekamp','Alyssa Cerino','Screen Right','Yes','2 FGM'
'Madison Reid','Emma Kiesekamp','Emma Kiesekamp','Screen Right','Yes','Turnover'
'Nicole Gilmore','Emma Kiesekamp','Nicole Gilmore','Screen Right','No','2 FGM'
'Madison Reid','Alyssa Cerino','Alyssa Cerino','Screen Right','Yes','2 FGM'
'Madison Reid','Alyssa Cerino','Karyn Jolicoeur','Screen Right','Yes','3 FGM'
'Madison Reid','Sydney Fearon','Madison Reid','Screen Right','Yes','2 FGM'
'Cynthia DupontLetourneau','Sydney Fearon','Cynthia DupontLethourneau','Screen Right','Yes','Turnover'
